0 [0.02, 0.96] [-0.0, 0.99] [0.0, 0.92]
1 [0.06, 0.91] [-0.0, 0.97] [0.02, 0.81]
2 [0.12, 0.85] [-0.0, 0.95] [0.09, 0.67]
3 [0.21, 0.77] [-0.0, 0.92] [0.24, 0.49]
4 [0.33, 0.68] [-0.0, 0.89] [0.51, 0.31]
5 [0.48, 0.57] [-0.0, 0.89] [0.87, 0.18]
6 [0.65, 0.43] [-0.0, 0.98] [1.23, 0.1]
7 [0.83, 0.26] [-0.0, 1.18] [1.57, 0.04]
8 [1.02, 0.05] [0.09, 1.39] [1.91, 0.04]
9 [1.21, 0.05] [0.26, 1.58] [2.24, 0.04]
10 [1.33, 0.05] [0.49, 1.75] [2.56, 0.04]
11 [1.37, 0.05] [0.77, 1.9] [2.88, 0.04]
12 [1.32, 0.05] [1.09, 2.04] [3.19, 0.04]
13 [1.19, 0.05] [1.45, 2.18] [3.49, 0.04]
14 [1.0, -0.0] [1.84, 2.33] [3.78, 0.04]
15 [0.79, 0.04] [2.25, 2.5] [4.06, 0.04]
16 [0.61, 0.19] [2.66, 2.69] [4.32, 0.04]
17 [0.53, 0.5] [3.0, 2.91] [4.51, 0.04]
18 [0.68, 0.91] [3.26, 3.12] [4.51, 0.04]
19 [1.03, 1.31] [3.49, 3.29] [4.22, 0.04]
20 [1.45, 1.67] [3.71, 3.44] [3.81, 0.24]
21 [1.87, 1.99] [3.91, 3.56] [3.78, 0.81]
22 [2.3, 2.27] [4.1, 3.67] [4.06, 1.3]
23 [2.75, 2.52] [4.28, 3.77] [4.41, 1.69]
24 [3.21, 2.76] [4.46, 3.88] [4.77, 2.03]
25 [3.69, 3.02] [4.66, 4.02] [5.16, 2.34]
26 [4.18, 3.33] [4.88, 4.19] [5.55, 2.7]
27 [4.67, 3.7] [5.12, 4.42] [5.92, 3.12]
28 [5.12, 4.13] [5.39, 4.7] [6.21, 3.61]
29 [5.52, 4.6] [5.68, 5.04] [6.42, 4.12]
30 [5.86, 5.09] [5.96, 5.42] [6.57, 4.63]
31 [6.13, 5.57] [6.19, 5.82] [6.66, 5.13]
32 [6.33, 6.02] [6.37, 6.21] [6.7, 5.61]
33 [6.47, 6.42] [6.49, 6.57] [6.71, 6.05]
34 [6.57, 6.77] [6.58, 6.88] [6.7, 6.45]
35 [6.63, 7.07] [6.64, 7.15] [6.68, 6.81]
36 [6.67, 7.33] [6.68, 7.39] [6.66, 7.14]
37 [6.69, 7.55] [6.71, 7.6] [6.65, 7.43]
38 [6.7, 7.75] [6.74, 7.78] [6.65, 7.68]
39 [6.71, 7.93] [6.77, 7.94] [6.65, 7.89]
40 [6.73, 8.09] [6.8, 8.09] [6.67, 8.08]
41 [6.75, 8.23] [6.83, 8.23] [6.69, 8.24]
42 [6.77, 8.36] [6.86, 8.35] [6.72, 8.38]
43 [6.79, 8.48] [6.89, 8.47] [6.76, 8.51]
44 [6.82, 8.59] [6.93, 8.58] [6.8, 8.62]
45 [6.85, 8.7] [6.96, 8.68] [6.84, 8.72]
46 [6.88, 8.8] [6.99, 8.78] [6.88, 8.81]
47 [6.91, 8.89] [7.02, 8.87] [6.92, 8.9]
48 [6.95, 8.98] [7.06, 8.96] [6.96, 8.98]
49 [6.98, 9.07] [7.09, 9.05] [7.0, 9.06]
50 [7.02, 9.16] [7.12, 9.14] [7.04, 9.14]
