0 [0.0, 0.98] [0.12, 1.18] [0.0, 0.87]
1 [0.0, 0.96] [0.2, 1.31] [0.0, 0.75]
2 [0.0, 0.94] [0.27, 1.42] [0.0, 0.63]
3 [0.0, 0.92] [0.33, 1.52] [0.0, 0.5]
4 [0.0, 0.9] [0.39, 1.61] [0.0, 0.37]
5 [0.0, 0.88] [0.45, 1.69] [0.0, 0.23]
6 [0.0, 0.86] [0.51, 1.76] [0.0, 0.09]
7 [0.0, 0.84] [0.57, 1.83] [0.0, 0.09]
8 [0.0, 0.82] [0.63, 1.89] [0.0, 0.09]
9 [0.0, 0.8] [0.69, 1.95] [0.0, 0.09]
10 [0.0, 0.78] [0.75, 2.01] [0.0, 0.09]
11 [0.0, 0.76] [0.81, 2.07] [0.0, -0.0]
12 [0.0, 0.74] [0.87, 2.12] [0.0, -0.0]
13 [0.0, 0.72] [0.93, 2.17] [0.0, -0.0]
14 [0.0, 0.7] [0.99, 2.22] [0.0, -0.0]
15 [0.0, 0.68] [1.05, 2.27] [0.0, -0.0]
16 [0.0, 0.66] [1.11, 2.32] [0.0, -0.0]
17 [0.0, 0.64] [1.17, 2.37] [0.0, -0.0]
18 [0.0, 0.62] [1.23, 2.42] [0.0, -0.0]
19 [0.0, 0.6] [1.29, 2.47] [0.0, -0.0]
20 [0.0, 0.58] [1.35, 2.52] [0.0, -0.0]
21 [0.0, 0.55] [1.41, 2.57] [0.0, -0.0]
22 [0.0, 0.52] [1.47, 2.62] [0.0, -0.0]
23 [0.0, 0.49] [1.53, 2.67] [0.0, -0.0]
24 [0.0, 0.46] [1.59, 2.72] [0.0, -0.0]
25 [0.0, 0.43] [1.65, 2.76] [0.0, -0.0]
26 [0.0, 0.4] [1.71, 2.8] [0.0, -0.0]
27 [0.0, 0.37] [1.77, 2.84] [0.0, -0.0]
28 [0.0, 0.34] [1.83, 2.88] [0.0, -0.0]
29 [0.0, 0.31] [1.89, 2.92] [0.0, -0.0]
30 [0.0, 0.28] [1.95, 2.96] [0.0, -0.0]
31 [0.0, 0.25] [2.01, 3.0] [0.0, -0.0]
32 [0.0, 0.22] [2.07, 3.04] [0.0, -0.0]
33 [0.0, 0.19] [2.13, 3.08] [0.0, 0.03]
34 [0.0, 0.16] [2.19, 3.12] [0.0, 0.09]
35 [0.0, 0.13] [2.26, 3.17] [0.0, 0.19]
36 [0.0, 0.1] [2.33, 3.21] [0.0, 0.34]
37 [0.0, 0.07] [2.4, 3.26] [0.0, 0.53]
38 [0.0, 0.04] [2.47, 3.31] [0.0, 0.76]
39 [0.0, 0.02] [2.55, 3.36] [0.0, 1.02]
40 [0.0, 0.01] [2.63, 3.41] [0.0, 1.29]
41 [0.0, 0.01] [2.71, 3.46] [0.04, 1.57]
42 [0.0, 0.03] [2.79, 3.51] [0.12, 1.84]
43 [0.0, 0.07] [2.87, 3.56] [0.24, 2.1]
44 [0.0, 0.13] [2.95, 3.61] [0.39, 2.34]
45 [0.0, 0.22] [3.03, 3.66] [0.56, 2.56]
46 [0.0, 0.34] [3.11, 3.71] [0.74, 2.76]
47 [0.0, 0.49] [3.19, 3.76] [0.93, 2.94]
48 [0.0, 0.67] [3.26, 3.81] [1.13, 3.11]
49 [0.01, 0.87] [3.33, 3.87] [1.33, 3.27]
50 [0.06, 1.08] [3.4, 3.93] [1.54, 3.43]
51 [0.16, 1.29] [3.47, 4.0] [1.76, 3.59]
52 [0.29, 1.5] [3.55, 4.08] [1.99, 3.76]
53 [0.45, 1.71] [3.63, 4.17] [2.23, 3.94]
54 [0.64, 1.92] [3.71, 4.27] [2.48, 4.14]
55 [0.86, 2.13] [3.8, 4.39] [2.74, 4.35]
56 [1.11, 2.35] [3.89, 4.53] [3.0, 4.57]
57 [1.39, 2.58] [3.99, 4.69] [3.26, 4.81]
58 [1.7, 2.82] [4.09, 4.87] [3.52, 5.06]
59 [2.03, 3.08] [4.19, 5.07] [3.78, 5.31]
60 [2.39, 3.36] [4.29, 5.29] [4.03, 5.57]
61 [2.76, 3.67] [4.4, 5.53] [4.27, 5.84]
62 [3.13, 4.0] [4.52, 5.78] [4.5, 6.11]
63 [3.49, 4.36] [4.65, 6.04] [4.71, 6.37]
64 [3.84, 4.73] [4.79, 6.3] [4.91, 6.62]
65 [4.17, 5.11] [4.94, 6.55] [5.11, 6.86]
66 [4.48, 5.48] [5.1, 6.79] [5.29, 7.08]
67 [4.77, 5.84] [5.27, 7.01] [5.46, 7.28]
68 [5.03, 6.19] [5.44, 7.21] [5.62, 7.46]
69 [5.27, 6.51] [5.61, 7.39] [5.77, 7.62]
70 [5.5, 6.81] [5.77, 7.55] [5.91, 7.77]
71 [5.7, 7.1] [5.93, 7.7] [6.04, 7.91]
72 [5.89, 7.36] [6.08, 7.84] [6.17, 8.04]
73 [6.06, 7.61] [6.22, 7.97] [6.29, 8.16]
74 [6.21, 7.85] [6.35, 8.09] [6.4, 8.28]
75 [6.35, 8.07] [6.47, 8.21] [6.5, 8.4]
76 [6.48, 8.28] [6.58, 8.32] [6.6, 8.52]
77 [6.6, 8.48] [6.69, 8.43] [6.69, 8.63]
78 [6.7, 8.67] [6.79, 8.54] [6.78, 8.74]
79 [6.8, 8.85] [6.88, 8.65] [6.86, 8.85]
80 [6.89, 9.02] [6.96, 8.75] [6.94, 8.96]
81 [6.98, 9.19] [7.04, 8.85] [7.01, 9.07]
