0 [0.0, 0.72] [0.0, 1.39] [0.0, 0.87]
1 [0.0, 0.55] [0.0, 1.26] [0.0, 0.67]
2 [0.0, 0.93] [0.28, 0.96] [0.43, 0.36]
3 [0.0, 1.24] [0.2, 0.66] [0.26, 0.36]
4 [0.12, 1.73] [0.2, 0.4] [0.25, 0.36]
5 [0.07, 2.29] [0.2, 0.42] [0.25, 0.36]
6 [0.07, 2.89] [0.2, 0.43] [0.25, 0.36]
7 [0.07, 3.51] [0.2, 0.44] [0.25, 0.0]
8 [0.07, 4.16] [0.2, 0.28] [0.25, 0.0]
9 [0.01, 4.82] [0.2, 0.13] [0.25, 0.0]
10 [0.04, 5.48] [0.2, 0.13] [0.25, 0.0]
11 [0.2, 6.12] [0.2, 0.13] [0.25, 0.0]
12 [0.41, 6.72] [0.2, 0.13] [0.25, 0.0]
13 [0.63, 7.25] [0.2, 0.13] [0.25, 0.01]
14 [0.84, 7.7] [0.2, 0.13] [0.25, 0.11]
15 [1.02, 8.09] [0.2, 0.01] [0.25, 0.3]
16 [1.11, 8.46] [0.2, 0.04] [0.25, 0.56]
17 [1.18, 8.82] [0.0, 0.16] [0.25, 0.91]
18 [1.25, 9.17] [0.0, 0.34] [0.15, 1.38]
19 [1.31, 9.48] [0.05, 0.54] [0.49, 1.82]
20 [1.26, 9.72] [0.2, 0.65] [1.02, 2.15]
21 [1.16, 9.91] [0.37, 0.76] [1.47, 2.61]
22 [1.06, 9.91] [0.57, 0.9] [1.75, 3.18]
23 [0.96, 9.91] [0.79, 1.03] [2.04, 3.73]
24 [0.86, 9.91] [1.03, 1.15] [2.37, 4.23]
25 [0.73, 9.91] [1.27, 1.25] [2.71, 4.64]
26 [0.56, 9.96] [1.48, 1.34] [2.97, 4.96]
27 [0.37, 9.94] [1.68, 1.44] [3.13, 5.24]
28 [0.19, 9.86] [1.86, 1.58] [3.23, 5.48]
29 [0.03, 9.74] [2.01, 1.76] [3.31, 5.69]
30 [0.03, 9.61] [2.09, 1.98] [3.38, 5.87]
31 [0.03, 9.43] [2.17, 2.21] [3.44, 6.03]
32 [0.01, 9.23] [2.23, 2.45] [3.5, 6.17]
33 [0.08, 9.05] [2.32, 2.68] [3.56, 6.28]
34 [0.21, 8.93] [2.47, 2.86] [3.63, 6.36]
35 [0.35, 8.85] [2.64, 2.99] [3.7, 6.43]
36 [0.49, 8.79] [2.82, 3.09] [3.78, 6.5]
37 [0.63, 8.74] [2.99, 3.17] [3.86, 6.57]
38 [0.77, 8.7] [3.16, 3.23] [3.95, 6.64]
39 [0.92, 8.67] [3.32, 3.28] [4.04, 6.72]
40 [1.07, 8.64] [3.48, 3.32] [4.14, 6.8]
41 [1.23, 8.61] [3.64, 3.36] [4.25, 6.88]
42 [1.4, 8.59] [3.8, 3.4] [4.37, 6.95]
43 [1.58, 8.57] [3.96, 3.44] [4.49, 7.02]
44 [1.76, 8.55] [4.12, 3.48] [4.62, 7.08]
45 [1.93, 8.53] [4.29, 3.52] [4.74, 7.13]
46 [2.09, 8.51] [4.47, 3.56] [4.86, 7.17]
47 [2.24, 8.49] [4.66, 3.61] [4.97, 7.21]
48 [2.37, 8.47] [4.87, 3.67] [5.07, 7.24]
49 [2.49, 8.46] [5.09, 3.74] [5.17, 7.27]
50 [2.61, 8.45] [5.32, 3.82] [5.28, 7.3]
51 [2.72, 8.44] [5.55, 3.93] [5.39, 7.33]
52 [2.83, 8.43] [5.78, 4.06] [5.5, 7.37]
53 [2.95, 8.42] [5.99, 4.22] [5.61, 7.41]
54 [3.07, 8.41] [6.18, 4.4] [5.73, 7.45]
55 [3.19, 8.4] [6.36, 4.6] [5.85, 7.5]
56 [3.3, 8.39] [6.52, 4.8] [5.97, 7.55]
57 [3.41, 8.38] [6.66, 5.01] [6.09, 7.6]
58 [3.52, 8.37] [6.79, 5.21] [6.21, 7.65]
59 [3.63, 8.36] [6.9, 5.42] [6.33, 7.71]
60 [3.74, 8.35] [7.0, 5.62] [6.45, 7.77]
61 [3.86, 8.34] [7.08, 5.82] [6.56, 7.83]
62 [3.98, 8.33] [7.14, 6.01] [6.67, 7.9]
63 [4.11, 8.32] [7.18, 6.2] [6.78, 7.97]
64 [4.25, 8.31] [7.21, 6.38] [6.88, 8.04]
65 [4.4, 8.3] [7.22, 6.55] [6.98, 8.12]
66 [4.56, 8.29] [7.22, 6.71] [7.08, 8.19]
67 [4.73, 8.28] [7.22, 6.86] [7.17, 8.26]
68 [4.9, 8.27] [7.22, 7.0] [7.26, 8.33]
69 [5.07, 8.26] [7.22, 7.12] [7.35, 8.39]
70 [5.23, 8.25] [7.22, 7.23] [7.43, 8.44]
71 [5.37, 8.24] [7.23, 7.33] [7.5, 8.49]
72 [5.5, 8.23] [7.25, 7.42] [7.57, 8.53]
73 [5.61, 8.23] [7.27, 7.5] [7.63, 8.57]
74 [5.71, 8.23] [7.3, 7.57] [7.68, 8.6]
75 [5.81, 8.23] [7.33, 7.64] [7.73, 8.63]
76 [5.9, 8.23] [7.36, 7.71] [7.78, 8.66]
77 [5.98, 8.23] [7.4, 7.78] [7.83, 8.69]
78 [6.06, 8.23] [7.44, 7.85] [7.87, 8.72]
79 [6.14, 8.23] [7.48, 7.91] [7.91, 8.75]
80 [6.22, 8.23] [7.52, 7.98] [7.95, 8.78]
81 [6.29, 8.23] [7.57, 8.04] [7.99, 8.81]
82 [6.36, 8.23] [7.62, 8.1] [8.03, 8.84]
83 [6.43, 8.23] [7.67, 8.16] [8.07, 8.87]
