0 [1.0, 0.0] [0.15, 0.0] [1.0, 0.0]
1 [1.93, 0.34] [1.14, 0.0] [1.31, 0.95]
2 [2.59, 0.79] [2.1, 0.0] [1.65, 1.88]
3 [3.07, 1.07] [2.92, 0.0] [1.94, 2.81]
4 [3.81, 1.53] [3.05, 0.87] [2.18, 3.76]
5 [4.59, 2.04] [3.51, 1.61] [2.38, 4.72]
6 [5.38, 2.58] [3.94, 2.33] [2.63, 5.67]
7 [6.07, 3.24] [4.15, 3.07] [3.12, 6.51]
8 [6.7, 3.94] [4.13, 3.61] [3.97, 6.86]
9 [7.38, 4.55] [4.25, 4.04] [4.77, 7.04]
10 [8.0, 5.12] [4.51, 4.39] [5.47, 7.2]
11 [8.51, 5.56] [4.78, 4.65] [6.1, 7.37]
12 [8.73, 5.76] [4.89, 4.78] [6.59, 7.64]
13 [8.88, 5.89] [4.96, 4.89] [6.84, 7.87]
14 [9.01, 6.01] [5.0, 5.0] [7.01, 8.02]
