0 [0.19, 1.09] [0.99, 1.0] [0.7, 1.01]
1 [0.81, 1.31] [1.99, 1.0] [1.62, 1.05]
2 [1.22, 1.51] [2.99, 1.01] [2.27, 1.34]
3 [1.58, 1.61] [3.99, 1.02] [2.59, 1.63]
4 [2.05, 1.69] [4.99, 1.03] [2.88, 1.84]
5 [2.54, 1.76] [5.99, 1.04] [3.08, 2.08]
6 [3.11, 1.87] [6.97, 1.08] [3.18, 2.4]
7 [3.57, 2.72] [7.13, 1.62] [3.59, 3.12]
8 [4.26, 3.44] [7.13, 2.26] [4.2, 3.88]
9 [4.88, 4.21] [7.06, 3.08] [4.74, 4.7]
10 [5.4, 5.05] [7.04, 3.99] [5.3, 5.5]
11 [5.89, 5.89] [7.05, 4.85] [5.87, 6.27]
12 [6.35, 6.71] [7.09, 5.68] [6.39, 7.02]
13 [6.65, 7.58] [7.15, 6.61] [6.66, 7.8]
14 [6.83, 8.36] [7.17, 7.58] [6.77, 8.45]
15 [6.94, 8.74] [7.03, 8.5] [6.91, 8.78]
16 [6.98, 8.9] [7.02, 8.88] [6.97, 8.92]
17 [7.01, 9.01] [7.04, 8.99] [7.02, 9.01]
