0 [1.0, 0.99] [0.98, 0.92] [0.12, 1.14]
1 [2.0, 0.98] [1.93, 0.85] [0.19, 1.19]
2 [3.0, 0.98] [2.79, 0.72] [0.24, 1.24]
3 [4.0, 0.97] [2.95, 0.38] [0.68, 1.57]
4 [4.99, 0.92] [3.02, 1.03] [1.57, 1.74]
5 [5.91, 0.58] [3.51, 1.28] [2.5, 1.84]
6 [6.73, 1.0] [4.19, 1.57] [3.41, 1.99]
7 [6.83, 1.72] [4.46, 2.46] [4.17, 2.56]
8 [6.87, 2.2] [4.92, 3.33] [4.69, 3.39]
9 [6.85, 2.95] [5.42, 4.18] [5.11, 4.29]
10 [6.81, 3.71] [5.85, 5.05] [5.5, 5.18]
11 [6.86, 4.37] [6.28, 5.8] [6.02, 5.89]
12 [6.93, 5.1] [6.6, 6.36] [6.4, 6.41]
13 [6.9, 5.98] [6.82, 7.06] [6.63, 7.07]
14 [6.81, 6.93] [6.87, 7.81] [6.69, 7.77]
15 [6.84, 7.89] [6.91, 8.39] [6.77, 8.38]
16 [6.95, 8.67] [6.94, 8.67] [6.87, 8.68]
17 [6.97, 8.83] [6.96, 8.81] [6.95, 8.85]
18 [7.0, 8.97] [6.99, 8.94] [7.01, 8.97]
