0 [0.0, 0.59] [0.0, 1.36] [0.0, 0.94]
1 [0.0, 0.23] [0.0, 1.18] [0.0, 0.74]
2 [0.0, 0.58] [0.34, 0.86] [0.47, 0.41]
3 [0.0, 0.85] [0.24, 0.66] [0.47, 0.23]
4 [0.07, 1.29] [-0.0, 0.42] [0.1, 0.23]
5 [0.07, 1.81] [-0.0, 0.2] [0.1, 0.23]
6 [0.07, 2.35] [-0.0, 0.24] [0.1, 0.23]
7 [0.07, 2.92] [-0.0, 0.24] [0.1, 0.02]
8 [0.07, 3.52] [-0.0, 0.06] [0.1, 0.02]
9 [0.07, 4.12] [-0.0, 0.06] [0.1, 0.02]
10 [0.07, 4.74] [-0.0, 0.06] [0.1, 0.02]
11 [0.01, 5.38] [-0.0, 0.06] [0.1, 0.02]
12 [0.11, 6.02] [-0.0, 0.06] [0.1, 0.08]
13 [0.32, 6.62] [-0.0, 0.06] [0.1, 0.26]
14 [0.57, 7.15] [-0.0, 0.06] [0.1, 0.5]
15 [0.8, 7.57] [-0.0, 0.06] [0.1, 0.74]
16 [1.01, 7.92] [-0.0, 0.06] [0.1, 1.0]
17 [1.18, 8.25] [-0.0, 0.03] [0.1, 1.31]
18 [1.27, 8.58] [-0.0, 0.21] [0.14, 1.66]
19 [1.3, 8.9] [0.05, 0.39] [0.42, 1.95]
20 [1.22, 9.18] [0.16, 0.53] [0.8, 2.23]
21 [1.11, 9.42] [0.3, 0.67] [1.16, 2.59]
22 [1.02, 9.65] [0.48, 0.83] [1.46, 3.05]
23 [0.97, 9.86] [0.67, 1.01] [1.73, 3.54]
24 [0.94, 9.86] [0.88, 1.19] [2.03, 4.02]
25 [0.91, 9.86] [1.11, 1.35] [2.35, 4.48]
26 [0.86, 9.86] [1.35, 1.49] [2.68, 4.9]
27 [0.79, 9.86] [1.6, 1.62] [2.98, 5.31]
28 [0.65, 9.86] [1.84, 1.75] [3.22, 5.69]
29 [0.42, 9.89] [2.05, 1.9] [3.4, 6.01]
30 [0.25, 9.76] [2.21, 2.09] [3.53, 6.31]
31 [0.27, 9.56] [2.34, 2.28] [3.67, 6.56]
32 [0.4, 9.42] [2.48, 2.44] [3.81, 6.77]
33 [0.55, 9.32] [2.64, 2.57] [3.95, 6.98]
34 [0.72, 9.25] [2.8, 2.66] [4.1, 7.18]
35 [0.89, 9.21] [2.96, 2.72] [4.27, 7.34]
36 [1.07, 9.18] [3.11, 2.76] [4.44, 7.49]
37 [1.26, 9.16] [3.25, 2.8] [4.61, 7.62]
38 [1.46, 9.14] [3.39, 2.84] [4.77, 7.74]
39 [1.66, 9.12] [3.54, 2.89] [4.92, 7.85]
40 [1.85, 9.1] [3.69, 2.94] [5.05, 7.94]
41 [2.03, 9.08] [3.85, 3.0] [5.17, 8.02]
42 [2.19, 9.06] [4.01, 3.07] [5.28, 8.09]
43 [2.33, 9.05] [4.18, 3.14] [5.39, 8.16]
44 [2.46, 9.04] [4.35, 3.22] [5.49, 8.23]
45 [2.57, 9.03] [4.52, 3.32] [5.59, 8.3]
46 [2.68, 9.02] [4.69, 3.43] [5.69, 8.37]
47 [2.78, 9.01] [4.86, 3.55] [5.79, 8.44]
48 [2.87, 9.0] [5.03, 3.69] [5.89, 8.52]
49 [2.96, 8.99] [5.2, 3.84] [5.99, 8.61]
50 [3.05, 8.98] [5.36, 4.01] [6.09, 8.71]
51 [3.14, 8.97] [5.51, 4.18] [6.19, 8.81]
52 [3.24, 8.96] [5.66, 4.36] [6.29, 8.92]
53 [3.34, 8.95] [5.8, 4.54] [6.39, 9.04]
54 [3.44, 8.94] [5.94, 4.72] [6.49, 9.16]
55 [3.55, 8.93] [6.08, 4.91] [6.59, 9.29]
56 [3.67, 8.92] [6.22, 5.09] [6.68, 9.42]
57 [3.79, 8.91] [6.36, 5.27] [6.77, 9.55]
58 [3.92, 8.9] [6.51, 5.45] [6.86, 9.68]
59 [4.05, 8.89] [6.66, 5.63] [6.95, 9.8]
60 [4.19, 8.88] [6.81, 5.8] [7.04, 9.92]
