0 [0.0, 0.98] [0.13, 1.18] [0.0, 0.87]
1 [0.0, 0.96] [0.21, 1.31] [0.0, 0.75]
2 [0.0, 0.94] [0.28, 1.42] [0.0, 0.63]
3 [0.0, 0.92] [0.34, 1.51] [0.0, 0.5]
4 [0.0, 0.9] [0.4, 1.6] [0.0, 0.37]
5 [0.0, 0.88] [0.46, 1.68] [0.0, 0.23]
6 [0.0, 0.86] [0.52, 1.75] [0.0, 0.09]
7 [0.0, 0.84] [0.58, 1.82] [0.0, 0.09]
8 [0.0, 0.82] [0.64, 1.88] [0.0, 0.09]
9 [0.0, 0.8] [0.7, 1.94] [0.0, 0.09]
10 [0.0, 0.78] [0.76, 2.0] [0.0, 0.09]
11 [0.0, 0.76] [0.82, 2.05] [0.0, 0.09]
12 [0.0, 0.74] [0.88, 2.1] [0.0, -0.0]
13 [0.0, 0.72] [0.94, 2.15] [0.0, -0.0]
14 [0.0, 0.7] [1.0, 2.2] [0.0, -0.0]
15 [0.0, 0.68] [1.06, 2.25] [0.0, -0.0]
16 [0.0, 0.66] [1.12, 2.3] [0.0, -0.0]
17 [0.0, 0.64] [1.18, 2.35] [0.0, -0.0]
18 [0.0, 0.62] [1.24, 2.4] [0.0, -0.0]
19 [0.0, 0.59] [1.3, 2.45] [0.0, -0.0]
20 [0.0, 0.56] [1.36, 2.5] [0.0, -0.0]
21 [0.0, 0.53] [1.42, 2.54] [0.0, -0.0]
22 [0.0, 0.5] [1.48, 2.58] [0.0, -0.0]
23 [0.0, 0.47] [1.54, 2.62] [0.0, -0.0]
24 [0.0, 0.44] [1.6, 2.66] [0.0, -0.0]
25 [0.0, 0.41] [1.66, 2.7] [0.0, -0.0]
26 [0.0, 0.38] [1.72, 2.74] [0.0, -0.0]
27 [0.0, 0.35] [1.78, 2.78] [0.0, -0.0]
28 [0.0, 0.32] [1.84, 2.82] [0.0, -0.0]
29 [0.0, 0.29] [1.9, 2.86] [0.0, -0.0]
30 [0.0, 0.26] [1.96, 2.9] [0.0, -0.0]
31 [0.0, 0.23] [2.02, 2.94] [0.0, -0.0]
32 [0.0, 0.2] [2.08, 2.98] [0.0, -0.0]
33 [0.0, 0.17] [2.14, 3.02] [0.0, 0.02]
34 [0.0, 0.13] [2.2, 3.06] [0.0, 0.07]
35 [0.0, 0.09] [2.27, 3.1] [0.0, 0.16]
36 [0.0, 0.05] [2.34, 3.14] [0.0, 0.3]
37 [0.0, 0.01] [2.41, 3.18] [0.0, 0.48]
38 [0.0, 0.01] [2.49, 3.23] [0.0, 0.7]
39 [0.0, 0.01] [2.57, 3.28] [0.0, 0.95]
40 [0.0, 0.01] [2.65, 3.33] [0.0, 1.22]
41 [0.0, 0.0] [2.73, 3.38] [0.02, 1.49]
42 [0.0, 0.01] [2.81, 3.43] [0.09, 1.76]
43 [0.0, 0.04] [2.89, 3.48] [0.2, 2.02]
44 [0.0, 0.09] [2.97, 3.53] [0.34, 2.26]
45 [0.0, 0.17] [3.05, 3.58] [0.5, 2.48]
46 [0.0, 0.29] [3.13, 3.63] [0.68, 2.68]
47 [0.0, 0.45] [3.21, 3.68] [0.87, 2.87]
48 [0.0, 0.64] [3.29, 3.74] [1.07, 3.04]
49 [0.0, 0.85] [3.37, 3.8] [1.28, 3.21]
50 [0.04, 1.08] [3.44, 3.86] [1.49, 3.37]
51 [0.13, 1.31] [3.52, 3.93] [1.71, 3.53]
52 [0.26, 1.54] [3.6, 4.01] [1.95, 3.7]
53 [0.43, 1.76] [3.68, 4.1] [2.2, 3.89]
54 [0.63, 1.99] [3.77, 4.21] [2.46, 4.09]
55 [0.86, 2.22] [3.86, 4.33] [2.72, 4.31]
56 [1.12, 2.45] [3.96, 4.47] [2.99, 4.54]
57 [1.42, 2.69] [4.06, 4.64] [3.26, 4.78]
58 [1.74, 2.95] [4.16, 4.83] [3.53, 5.04]
59 [2.09, 3.22] [4.26, 5.04] [3.79, 5.31]
60 [2.46, 3.52] [4.37, 5.28] [4.04, 5.58]
61 [2.84, 3.84] [4.48, 5.53] [4.28, 5.86]
62 [3.22, 4.18] [4.6, 5.8] [4.51, 6.14]
63 [3.59, 4.54] [4.73, 6.08] [4.73, 6.41]
64 [3.95, 4.92] [4.88, 6.35] [4.94, 6.67]
65 [4.28, 5.3] [5.04, 6.61] [5.14, 6.91]
66 [4.6, 5.68] [5.21, 6.85] [5.33, 7.13]
67 [4.89, 6.04] [5.38, 7.07] [5.51, 7.32]
68 [5.16, 6.39] [5.56, 7.27] [5.68, 7.5]
69 [5.41, 6.71] [5.73, 7.45] [5.83, 7.66]
70 [5.63, 7.02] [5.9, 7.62] [5.97, 7.81]
71 [5.83, 7.3] [6.05, 7.77] [6.1, 7.95]
72 [6.02, 7.56] [6.2, 7.91] [6.23, 8.08]
73 [6.19, 7.81] [6.34, 8.04] [6.35, 8.21]
74 [6.34, 8.04] [6.47, 8.17] [6.46, 8.34]
75 [6.48, 8.26] [6.58, 8.29] [6.56, 8.46]
76 [6.6, 8.47] [6.69, 8.41] [6.66, 8.58]
77 [6.71, 8.66] [6.79, 8.52] [6.75, 8.7]
78 [6.82, 8.85] [6.88, 8.63] [6.83, 8.81]
79 [6.92, 9.03] [6.97, 8.74] [6.91, 8.92]
80 [7.01, 9.2] [7.05, 8.85] [6.99, 9.04]
81 [7.09, 9.36] [7.13, 8.95] [7.06, 9.15]
