0 [0.96, 0.28] [0.68, 0.62] [0.81, 0.58]
1 [1.93, 0.49] [0.64, 0.6] [1.58, 1.22]
2 [2.74, 0.94] [0.85, 0.74] [2.04, 2.1]
3 [2.99, 1.24] [1.24, 0.79] [2.21, 3.05]
4 [3.59, 1.5] [2.02, 0.91] [2.28, 4.01]
5 [4.48, 1.83] [2.76, 1.36] [2.7, 4.89]
6 [5.38, 2.21] [3.37, 1.98] [3.18, 5.75]
7 [6.25, 2.67] [3.9, 2.62] [3.81, 6.49]
8 [7.02, 3.27] [4.29, 3.22] [4.59, 6.99]
9 [7.65, 3.96] [4.55, 3.72] [5.29, 7.34]
10 [8.19, 4.63] [4.7, 4.13] [5.83, 7.5]
11 [8.59, 5.24] [4.83, 4.48] [6.25, 7.58]
12 [8.77, 5.59] [4.92, 4.7] [6.61, 7.68]
13 [8.88, 5.79] [4.95, 4.83] [6.81, 7.83]
14 [8.97, 5.93] [4.99, 4.94] [6.94, 7.94]
15 [9.02, 6.02] [5.01, 5.01] [7.03, 8.01]
