0 [0.94, 0.31] [0.94, 0.0] [0.62, 0.78]
1 [1.91, 0.47] [1.91, 0.0] [1.09, 1.66]
2 [2.75, 0.92] [2.66, 0.0] [1.44, 2.58]
3 [3.41, 1.5] [2.85, 0.0] [1.75, 3.51]
4 [4.2, 1.92] [2.77, 0.0] [2.06, 4.44]
5 [5.09, 2.22] [2.95, 0.59] [2.48, 5.32]
6 [5.97, 2.6] [3.36, 1.2] [2.98, 6.16]
7 [6.83, 3.05] [3.8, 1.85] [3.65, 6.88]
8 [7.58, 3.68] [4.12, 2.64] [4.57, 7.19]
9 [8.13, 4.48] [4.37, 3.5] [5.45, 7.37]
10 [8.55, 5.28] [4.65, 4.31] [5.95, 7.47]
11 [8.8, 5.67] [4.81, 4.66] [6.25, 7.54]
12 [8.89, 5.8] [4.87, 4.81] [6.65, 7.71]
13 [8.96, 5.92] [4.94, 4.93] [6.87, 7.89]
14 [9.02, 6.02] [5.01, 5.01] [7.01, 8.01]
