0 [0.96, 0.0] [0.97, 0.1] [0.61, 0.79]
1 [1.86, 0.42] [1.94, 0.17] [1.14, 1.63]
2 [2.6, 0.75] [2.71, 0.64] [1.62, 2.44]
3 [3.11, 1.13] [3.18, 1.24] [2.01, 3.3]
4 [3.83, 1.61] [3.68, 1.83] [2.41, 4.2]
5 [4.55, 2.15] [4.14, 2.43] [2.74, 5.12]
6 [5.27, 2.73] [4.52, 3.0] [3.13, 6.0]
7 [6.01, 3.32] [4.76, 3.55] [3.82, 6.56]
8 [6.76, 3.88] [4.8, 4.02] [4.45, 6.89]
9 [7.49, 4.43] [4.79, 4.37] [5.0, 7.1]
10 [8.11, 5.02] [4.83, 4.59] [5.62, 7.3]
11 [8.54, 5.55] [4.87, 4.71] [6.28, 7.5]
12 [8.76, 5.77] [4.92, 4.81] [6.73, 7.72]
13 [8.93, 5.93] [4.98, 4.94] [6.91, 7.9]
14 [9.01, 6.02] [5.0, 5.01] [7.02, 8.01]
