0 [0.0, 0.68] [0.0, 1.03] [0.0, 1.18]
1 [0.0, 0.33] [0.0, 1.12] [0.0, 1.39]
2 [0.0, 0.09] [0.0, 1.23] [0.0, 1.57]
3 [0.0, 0.09] [0.0, 1.44] [0.0, 1.74]
4 [0.0, 0.09] [0.0, 1.64] [0.0, 1.89]
5 [0.0, 0.09] [0.0, 1.83] [0.0, 2.01]
6 [0.0, 0.09] [0.0, 2.01] [0.0, 2.11]
7 [0.0, 0.09] [0.0, 2.19] [0.0, 2.19]
8 [0.0, 0.09] [0.0, 2.37] [0.0, 2.26]
9 [0.0, 0.09] [0.0, 2.57] [0.0, 2.33]
10 [0.0, 0.09] [0.0, 2.79] [0.0, 2.41]
11 [0.0, 0.09] [0.0, 3.03] [0.0, 2.49]
12 [0.0, 0.09] [0.0, 3.29] [0.0, 2.59]
13 [0.0, 0.09] [0.0, 3.57] [0.0, 2.7]
14 [0.0, 0.09] [0.0, 3.86] [0.0, 2.83]
15 [0.0, 0.09] [0.0, 4.17] [0.0, 2.97]
16 [0.0, 0.09] [0.0, 4.5] [0.0, 3.13]
17 [0.0, 0.09] [0.0, 4.85] [0.0, 3.3]
18 [0.0, 0.09] [0.0, 5.21] [0.0, 3.49]
19 [0.0, 0.09] [0.0, 5.59] [0.0, 3.69]
20 [0.0, 0.09] [0.0, 5.98] [0.0, 3.9]
21 [0.0, 0.09] [0.0, 6.38] [0.0, 4.12]
22 [0.0, 0.09] [0.0, 6.79] [0.0, 4.36]
23 [0.0, 0.09] [0.0, 7.21] [0.0, 4.61]
24 [0.0, 0.09] [0.0, 7.64] [0.0, 4.86]
25 [0.0, 0.09] [0.0, 8.08] [0.0, 5.12]
26 [0.0, 0.09] [0.0, 8.52] [0.0, 5.39]
27 [0.0, 0.09] [0.0, 8.97] [0.0, 5.67]
28 [0.0, 0.09] [0.0, 9.42] [0.0, 5.95]
29 [0.0, 0.09] [0.0, 9.88] [0.0, 6.24]
30 [0.0, 0.09] [0.0, 9.88] [0.0, 6.53]
31 [0.0, 0.09] [0.0, 9.88] [0.0, 6.82]
32 [0.0, 0.09] [0.0, 9.88] [0.0, 7.1]
33 [0.0, 0.09] [0.0, 9.88] [0.0, 7.38]
34 [0.0, 0.09] [0.0, 9.88] [0.0, 7.65]
35 [0.0, 0.09] [0.0, 9.88] [0.0, 7.92]
36 [0.0, 0.09] [0.0, 9.88] [0.0, 8.18]
37 [0.0, 0.09] [0.0, 9.88] [0.0, 8.44]
38 [0.0, 0.09] [0.0, 9.88] [0.0, 8.7]
39 [0.0, 0.09] [0.0, 9.88] [0.0, 8.95]
40 [0.0, 0.09] [0.0, 9.88] [0.0, 9.2]
41 [0.0, 0.09] [0.0, 9.88] [0.0, 9.44]
42 [0.0, 0.09] [0.0, 9.88] [0.0, 9.68]
43 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
44 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
45 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
46 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
47 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
48 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
49 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
50 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
51 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
52 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
53 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
54 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
55 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
56 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
57 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
58 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
59 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
60 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
61 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
62 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
63 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
64 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
65 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
66 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
67 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
68 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
69 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
70 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
71 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
72 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
73 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
74 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
75 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
76 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
77 [0.0, 0.09] [0.0, 9.88] [0.0, 9.91]
