0 [0.41, 0.01] [0.35, 0.0] [0.96, 0.0]
1 [1.31, 0.15] [1.14, 0.0] [1.93, 0.0]
2 [1.89, 0.9] [1.89, 0.0] [2.12, 0.0]
3 [2.11, 1.02] [2.23, 0.0] [2.38, 0.96]
4 [2.42, 1.09] [2.28, 0.0] [2.34, 1.95]
5 [3.19, 1.26] [2.22, 0.82] [2.56, 2.91]
6 [4.12, 1.5] [2.59, 1.6] [2.61, 3.9]
7 [5.04, 1.8] [2.88, 2.32] [2.85, 4.86]
8 [5.83, 2.33] [3.26, 2.92] [3.54, 5.52]
9 [6.35, 3.1] [3.67, 3.38] [4.21, 6.09]
10 [6.81, 3.79] [4.03, 3.71] [4.79, 6.5]
11 [7.26, 4.27] [4.29, 3.98] [5.28, 6.76]
12 [7.74, 4.72] [4.49, 4.23] [5.7, 6.95]
13 [8.35, 5.17] [4.65, 4.47] [6.12, 7.1]
14 [8.86, 5.61] [4.84, 4.65] [6.69, 7.31]
15 [8.93, 5.82] [4.93, 4.81] [6.97, 7.75]
16 [8.99, 5.95] [4.98, 4.93] [7.0, 7.93]
17 [9.03, 6.02] [5.01, 5.03] [7.03, 8.06]
