0 [0.94, 0.15] [0.01, -0.0] [0.77, 0.61]
1 [1.93, 0.18] [0.02, -0.0] [1.76, 0.68]
2 [2.78, 0.5] [0.09, -0.0] [2.63, 1.01]
3 [2.58, 1.06] [0.09, -0.0] [2.65, 1.67]
4 [2.92, 1.65] [0.27, -0.0] [2.81, 2.47]
5 [3.26, 2.17] [0.5, -0.0] [2.97, 3.26]
6 [3.83, 2.55] [0.74, -0.0] [3.55, 3.9]
7 [4.47, 2.89] [0.96, -0.0] [4.24, 4.44]
8 [5.08, 3.26] [1.18, -0.0] [4.9, 5.0]
9 [5.62, 3.67] [1.41, -0.0] [5.49, 5.6]
10 [6.05, 4.14] [1.65, -0.0] [5.98, 6.25]
11 [6.3, 4.65] [1.89, -0.0] [6.28, 6.95]
12 [6.3, 5.14] [2.06, -0.0] [6.27, 7.63]
13 [6.38, 5.66] [2.25, -0.0] [6.3, 8.32]
14 [6.58, 6.19] [2.47, -0.0] [6.43, 9.03]
15 [6.84, 6.71] [2.7, -0.0] [6.64, 9.73]
16 [7.19, 7.21] [2.94, -0.0] [6.96, 9.73]
17 [7.57, 7.71] [3.18, -0.0] [7.28, 9.73]
18 [8.02, 8.19] [3.42, -0.0] [7.67, 9.73]
19 [8.57, 8.64] [3.64, -0.0] [8.17, 9.73]
20 [9.24, 9.03] [3.83, -0.0] [8.81, 9.73]
21 [9.99, 9.36] [3.98, -0.0] [9.56, 9.73]
