0 [0.97, 0.0] [0.0, 0.15] [0.96, 0.0]
1 [1.88, 0.0] [0.57, 0.76] [1.81, 0.0]
2 [2.73, 0.0] [1.27, 1.4] [2.24, 0.0]
3 [3.54, 0.0] [1.95, 2.08] [2.44, 0.0]
4 [4.37, 0.0] [2.57, 2.69] [2.76, 0.0]
5 [4.24, 0.0] [3.16, 3.38] [2.73, 0.0]
6 [4.64, 0.87] [3.17, 3.95] [2.92, 0.9]
7 [5.39, 1.43] [3.25, 4.57] [3.51, 1.67]
8 [6.12, 1.96] [3.37, 5.24] [4.08, 2.47]
9 [6.72, 2.64] [3.42, 5.79] [4.49, 3.35]
10 [7.38, 3.29] [3.32, 6.16] [4.99, 4.18]
11 [8.03, 3.99] [3.19, 6.29] [5.3, 5.1]
12 [8.59, 4.64] [3.16, 5.77] [5.46, 6.05]
13 [8.95, 5.16] [4.05, 5.66] [5.98, 6.83]
14 [9.11, 5.63] [4.75, 5.33] [6.61, 7.36]
15 [9.02, 5.91] [4.91, 5.06] [6.96, 7.84]
16 [8.99, 6.01] [5.01, 5.0] [7.01, 8.0]
