0 [0.09, 1.01] [0.0, 0.93] [0.0, 1.0]
1 [0.19, 1.03] [0.0, 0.84] [0.0, 0.98]
2 [0.3, 1.05] [0.0, 0.73] [0.0, 0.94]
3 [0.42, 1.07] [0.0, 0.61] [0.0, 0.89]
4 [0.56, 1.09] [0.0, 0.53] [0.0, 0.83]
5 [0.72, 1.11] [0.0, 0.58] [0.0, 0.77]
6 [0.91, 1.13] [0.0, 0.76] [0.0, 0.71]
7 [1.12, 1.15] [0.05, 0.95] [0.0, 0.65]
8 [1.36, 1.18] [0.19, 1.1] [0.0, 0.63]
9 [1.63, 1.21] [0.36, 1.2] [0.0, 0.67]
10 [1.93, 1.25] [0.56, 1.28] [0.0, 0.75]
11 [2.27, 1.3] [0.77, 1.35] [0.0, 0.85]
12 [2.64, 1.35] [0.99, 1.42] [0.0, 0.95]
13 [3.05, 1.41] [1.22, 1.48] [0.0, 1.04]
14 [3.5, 1.47] [1.46, 1.54] [0.0, 1.11]
15 [3.96, 1.54] [1.7, 1.6] [0.0, 1.17]
16 [4.34, 1.61] [1.92, 1.65] [0.0, 1.25]
17 [4.65, 1.68] [2.13, 1.7] [0.0, 1.34]
18 [4.92, 1.75] [2.34, 1.76] [-0.0, 1.45]
19 [5.16, 1.83] [2.57, 1.82] [0.02, 1.58]
20 [5.37, 1.92] [2.83, 1.9] [0.07, 1.73]
21 [5.56, 2.02] [3.12, 2.0] [0.17, 1.91]
22 [5.74, 2.14] [3.45, 2.13] [0.32, 2.12]
23 [5.92, 2.29] [3.83, 2.31] [0.55, 2.37]
24 [6.1, 2.51] [4.25, 2.57] [0.86, 2.67]
25 [6.26, 2.82] [4.68, 2.93] [1.28, 3.03]
26 [6.37, 3.24] [5.05, 3.39] [1.8, 3.42]
27 [6.42, 3.76] [5.33, 3.92] [2.4, 3.82]
28 [6.41, 4.36] [5.52, 4.48] [3.05, 4.24]
29 [6.37, 5.02] [5.66, 5.04] [3.71, 4.7]
30 [6.35, 5.71] [5.77, 5.57] [4.33, 5.21]
31 [6.38, 6.38] [5.87, 6.08] [4.89, 5.78]
32 [6.45, 6.97] [5.96, 6.57] [5.37, 6.39]
33 [6.55, 7.42] [6.07, 7.04] [5.77, 6.97]
34 [6.64, 7.75] [6.2, 7.47] [6.1, 7.47]
35 [6.71, 8.0] [6.33, 7.82] [6.34, 7.84]
36 [6.76, 8.19] [6.45, 8.08] [6.49, 8.09]
37 [6.8, 8.35] [6.55, 8.27] [6.6, 8.28]
38 [6.84, 8.48] [6.64, 8.43] [6.69, 8.43]
39 [6.87, 8.59] [6.72, 8.56] [6.77, 8.56]
40 [6.9, 8.69] [6.8, 8.67] [6.84, 8.68]
41 [6.93, 8.79] [6.87, 8.77] [6.91, 8.79]
42 [6.96, 8.88] [6.94, 8.86] [6.97, 8.89]
43 [6.99, 8.96] [7.01, 8.95] [7.03, 8.98]
