0 [0.0, 0.43] [0.0, 0.0] [0.0, 0.05]
1 [0.15, 0.49] [0.35, 0.41] [0.47, 0.05]
2 [0.55, 0.76] [0.13, 0.89] [0.47, 0.05]
3 [1.01, 1.17] [0.07, 1.41] [0.47, 0.05]
4 [1.41, 1.33] [0.6, 1.88] [0.31, 0.05]
5 [1.81, 1.44] [1.36, 2.24] [0.46, 0.05]
6 [2.25, 1.52] [2.24, 2.53] [0.98, 0.05]
7 [2.62, 1.58] [3.17, 2.74] [1.68, 0.05]
8 [2.94, 1.65] [4.08, 2.99] [2.4, 0.05]
9 [3.22, 1.75] [4.93, 3.34] [3.05, 0.05]
10 [3.48, 1.88] [5.71, 3.78] [3.6, 0.05]
11 [3.73, 2.07] [6.42, 4.3] [3.99, 0.05]
12 [3.97, 2.31] [7.06, 4.89] [4.16, 0.05]
13 [4.2, 2.53] [7.73, 5.47] [4.28, 0.05]
14 [4.43, 2.72] [8.44, 6.03] [4.42, 0.05]
15 [4.66, 2.89] [9.16, 6.58] [4.55, 0.05]
16 [4.89, 3.07] [9.87, 7.14] [4.59, 0.05]
17 [5.14, 3.29] [9.87, 7.72] [4.38, 0.05]
18 [5.41, 3.56] [9.87, 8.27] [3.94, 0.05]
19 [5.69, 3.92] [9.87, 8.78] [3.24, 0.05]
20 [5.94, 4.37] [9.87, 9.3] [2.48, 0.05]
21 [6.13, 4.91] [9.87, 9.86] [1.76, 0.19]
22 [6.1, 5.57] [9.87, 9.86] [1.25, 0.61]
23 [5.76, 6.24] [9.87, 9.86] [0.91, 1.14]
24 [5.89, 6.92] [9.87, 9.86] [0.2, 1.37]
25 [6.33, 7.14] [9.87, 9.86] [0.2, 0.53]
26 [6.66, 7.21] [9.87, 9.86] [0.57, 0.53]
