0 [0.98, 1.0] [0.96, 1.0] [0.41, 1.0]
1 [1.97, 1.0] [1.93, 1.0] [1.28, 1.01]
2 [2.96, 1.0] [2.85, 1.01] [1.94, 1.08]
3 [3.95, 1.01] [3.81, 1.04] [2.29, 1.45]
4 [4.94, 1.03] [4.78, 1.09] [2.42, 1.82]
5 [5.92, 1.08] [5.73, 1.19] [2.5, 2.09]
6 [6.74, 1.45] [6.46, 1.6] [2.59, 2.43]
7 [6.7, 2.25] [6.39, 2.28] [3.2, 3.04]
8 [6.77, 3.05] [6.52, 3.0] [3.88, 3.73]
9 [6.84, 3.8] [6.65, 3.81] [4.54, 4.46]
10 [6.81, 4.65] [6.76, 4.73] [5.16, 5.23]
11 [6.65, 5.56] [6.81, 5.64] [5.77, 6.01]
12 [6.54, 6.51] [6.83, 6.55] [6.29, 6.85]
13 [6.61, 7.48] [6.86, 7.48] [6.7, 7.73]
14 [6.88, 8.36] [6.91, 8.36] [6.91, 8.54]
15 [6.98, 8.87] [6.96, 8.89] [6.95, 8.85]
16 [6.98, 9.0] [6.99, 9.0] [7.01, 8.98]
