0 [0.87, 0.0] [0.0, 0.0] [0.06, 0.0]
1 [1.74, 0.0] [0.0, 0.0] [0.06, 0.44]
2 [2.54, 0.0] [0.0, 0.13] [0.04, 1.25]
3 [2.85, 0.0] [0.1, 0.92] [0.2, 2.04]
4 [3.04, 0.95] [0.6, 1.06] [0.2, 2.15]
5 [3.03, 0.97] [1.37, 1.3] [0.53, 3.05]
6 [3.1, 1.55] [2.17, 1.72] [1.05, 3.77]
7 [3.75, 2.02] [2.77, 2.26] [1.71, 4.46]
8 [4.45, 2.59] [3.12, 2.73] [2.37, 5.12]
9 [5.12, 3.21] [3.41, 3.1] [3.02, 5.77]
10 [5.77, 3.83] [3.67, 3.43] [3.67, 6.36]
11 [6.43, 4.37] [3.94, 3.81] [4.36, 6.73]
12 [7.15, 4.78] [4.25, 4.17] [5.05, 6.98]
13 [7.84, 5.2] [4.51, 4.45] [5.71, 7.22]
14 [8.4, 5.54] [4.7, 4.63] [6.31, 7.46]
15 [8.66, 5.78] [4.82, 4.77] [6.66, 7.74]
16 [8.88, 5.91] [4.94, 4.92] [6.88, 7.92]
17 [9.01, 6.01] [5.02, 5.0] [7.01, 8.01]
