0 [0.97, 0.02] [1.0, 0.0] [0.61, 0.03]
1 [1.68, 0.71] [1.9, 0.0] [1.27, 0.68]
2 [2.3, 0.91] [2.43, 0.71] [2.02, 1.27]
3 [2.73, 1.17] [2.79, 1.44] [2.61, 2.01]
4 [3.19, 1.61] [2.82, 2.25] [3.05, 2.88]
5 [3.66, 2.17] [2.94, 3.03] [3.36, 3.81]
6 [4.26, 2.52] [3.23, 3.62] [3.95, 4.57]
7 [4.85, 2.85] [3.58, 4.07] [4.55, 5.3]
8 [5.41, 3.16] [3.91, 4.37] [5.19, 5.89]
9 [5.87, 3.49] [4.15, 4.54] [5.6, 6.32]
10 [6.31, 3.8] [4.26, 4.61] [5.75, 6.66]
11 [6.83, 4.32] [4.3, 4.63] [5.82, 6.88]
12 [7.48, 4.96] [4.44, 4.67] [6.07, 7.08]
13 [8.3, 5.36] [4.7, 4.73] [6.61, 7.3]
14 [8.84, 5.73] [4.84, 4.84] [6.98, 7.61]
15 [8.94, 5.9] [4.96, 4.94] [7.0, 7.91]
16 [9.03, 6.01] [5.01, 5.0] [7.01, 8.03]
