0 [0.74, 0.0] [0.59, 0.0] [0.0, 0.0]
1 [1.54, 0.0] [0.93, 0.0] [0.13, 0.47]
2 [2.39, 0.0] [1.1, 0.0] [0.43, 0.68]
3 [3.26, 0.0] [1.21, 0.0] [0.67, 1.02]
4 [4.12, 0.0] [1.19, 0.0] [0.8, 1.43]
5 [4.93, 0.0] [1.02, 0.0] [0.9, 1.81]
6 [5.57, 0.0] [0.73, 0.0] [1.01, 2.13]
7 [6.0, 0.0] [0.32, 0.0] [1.11, 2.39]
8 [6.27, 0.0] [0.32, 0.0] [1.17, 2.58]
9 [6.27, 0.0] [0.32, 0.0] [1.21, 2.8]
10 [5.79, 0.0] [0.32, 0.0] [1.2, 3.03]
11 [4.81, 0.0] [0.32, 0.0] [1.1, 3.21]
12 [4.64, 0.98] [0.04, 0.0] [0.96, 3.26]
13 [5.17, 1.81] [0.04, 0.0] [0.77, 3.26]
14 [5.53, 2.66] [0.04, 0.0] [0.48, 3.36]
15 [5.86, 3.36] [0.04, 0.0] [0.15, 3.53]
16 [6.13, 3.8] [0.04, 0.0] [0.15, 3.76]
17 [6.35, 4.09] [0.04, 0.0] [0.15, 4.0]
18 [6.52, 4.29] [0.04, 0.14] [0.15, 4.27]
19 [6.66, 4.43] [0.04, 0.82] [0.15, 4.58]
20 [6.78, 4.53] [0.28, 1.75] [0.1, 4.91]
21 [6.89, 4.6] [1.14, 2.16] [0.21, 5.25]
22 [7.05, 4.65] [1.84, 2.69] [0.45, 5.69]
23 [7.33, 4.71] [2.34, 3.16] [0.89, 6.07]
24 [7.76, 4.81] [2.67, 3.51] [1.37, 6.36]
25 [8.28, 5.01] [2.95, 3.8] [1.8, 6.63]
26 [8.7, 5.34] [3.26, 4.07] [2.2, 6.88]
27 [8.75, 5.57] [3.62, 4.28] [2.69, 7.04]
28 [8.77, 5.68] [3.87, 4.45] [3.34, 7.2]
29 [8.79, 5.78] [4.09, 4.61] [4.04, 7.41]
30 [8.81, 5.87] [4.33, 4.77] [4.76, 7.63]
31 [8.85, 5.96] [4.56, 4.87] [5.54, 7.8]
32 [8.92, 6.05] [4.78, 4.92] [6.4, 7.92]
33 [9.03, 6.15] [4.98, 4.94] [7.31, 8.01]
