0 [1.0, 0.0] [0.9, 0.12] [0.84, 0.54]
1 [2.0, 0.0] [1.03, 0.23] [1.61, 1.17]
2 [3.0, 0.0] [0.95, 0.41] [2.33, 1.86]
3 [3.56, 0.0] [1.02, 0.04] [3.1, 2.42]
4 [3.65, 0.99] [1.25, 0.04] [3.77, 2.99]
5 [3.34, 1.9] [2.15, 0.4] [4.08, 3.79]
6 [3.89, 2.65] [3.01, 0.83] [4.02, 4.63]
7 [4.32, 3.28] [3.6, 1.45] [4.33, 5.4]
8 [4.84, 3.6] [4.03, 1.97] [4.89, 5.92]
9 [5.41, 3.81] [4.18, 2.5] [5.19, 6.36]
10 [6.01, 4.0] [4.18, 2.93] [5.36, 6.57]
11 [6.68, 4.26] [4.18, 3.36] [5.56, 6.72]
12 [7.41, 4.69] [4.26, 3.84] [5.89, 6.86]
13 [8.18, 5.18] [4.62, 4.35] [6.48, 7.06]
14 [8.68, 5.58] [4.75, 4.62] [6.82, 7.56]
15 [8.82, 5.78] [4.86, 4.8] [6.87, 7.76]
16 [8.92, 5.9] [4.94, 4.92] [6.94, 7.9]
17 [9.01, 6.0] [5.01, 5.01] [7.01, 8.02]
